train_n,time,generated,reconstructed
16,0.00000000,-0.04997320,0.17812452
16,0.00787402,0.03154263,0.30648703
16,0.01574803,0.25246468,0.42625455
16,0.02362205,0.39826598,0.53436138
16,0.03149606,0.59119867,0.62819091
16,0.03937008,0.71374890,0.70563250
16,0.04724409,0.89815632,0.76512186
16,0.05511811,1.00004451,0.80566428
16,0.06299213,0.96128310,0.82684092
16,0.07086614,1.03351685,0.82879844
16,0.07874016,0.91548682,0.81222301
16,0.08661417,0.84083024,0.77830006
16,0.09448819,0.80171370,0.72866133
16,0.10236220,0.77533852,0.66532143
16,0.11023622,0.71359032,0.59060583
16,0.11811024,0.62441333,0.50707298
16,0.12598425,0.61797701,0.41743270
16,0.13385827,0.56750971,0.32446348
16,0.14173228,0.36847602,0.23093101
16,0.14960630,0.12249895,0.13951021
16,0.15748031,-0.09193782,0.05271290
16,0.16535433,-0.22835001,-0.02717721
16,0.17322835,-0.30320491,-0.09816048
16,0.18110236,-0.43756320,-0.15856709
16,0.18897638,-0.51236816,-0.20709169
16,0.19685039,-0.40338396,-0.24281635
16,0.20472441,-0.42887978,-0.26522166
16,0.21259843,-0.23922871,-0.27418609
16,0.22047244,-0.27700879,-0.26997405
16,0.22834646,-0.29910048,-0.25321353
16,0.23622047,-0.14441689,-0.22486425
16,0.24409449,-0.23012088,-0.18617762
16,0.25196850,-0.14307554,-0.13864998
16,0.25984252,-0.22868500,-0.08397072
16,0.26771654,0.02587092,-0.02396691
16,0.27559055,0.21410682,0.03945387
16,0.28346457,0.37605177,0.10436072
16,0.29133858,0.39788440,0.16885509
16,0.29921260,0.54800429,0.23112344
16,0.30708661,0.63693051,0.28948531
16,0.31496063,0.57840828,0.34243594
16,0.32283465,0.65549100,0.38868214
16,0.33070866,0.42808981,0.42717080
16,0.33858268,0.45745881,0.45710951
16,0.34645669,0.31708199,0.47797896
16,0.35433071,0.24625276,0.48953717
16,0.36220472,0.33941483,0.49181561
16,0.37007874,0.24067209,0.48510777
16,0.37795276,0.36039331,0.46995074
16,0.38582677,0.38875692,0.44710053
16,0.39370079,0.23340930,0.41750223
16,0.40157480,0.25962405,0.38225587
16,0.40944882,0.22628719,0.34257923
16,0.41732283,0.27086654,0.29976878
16,0.42519685,0.08122246,0.25515984
16,0.43307087,-0.00989623,0.21008724
16,0.44094488,0.06295768,0.16584740
16,0.44881890,0.05059611,0.12366314
16,0.45669291,0.18457335,0.08465175
16,0.46456693,0.18768911,0.04979739
16,0.47244094,0.26139412,0.01992834
16,0.48031496,0.26742434,-0.00430051
16,0.48818898,0.36293252,-0.02241955
16,0.49606299,0.23199573,-0.03415058
16,0.50393701,0.06884774,-0.03940736
16,0.51181102,0.13276738,-0.03829064
16,0.51968504,0.03010200,-0.03107805
16,0.52755906,-0.02516759,-0.01820946
16,0.53543307,-0.07169749,-0.00026816
16,0.54330709,-0.01691569,0.02204114
16,0.55118110,0.01916913,0.04791702
16,0.55905512,0.15144978,0.07648784
16,0.56692913,0.07571978,0.10683913
16,0.57480315,0.12767526,0.13804122
16,0.58267717,-0.01990150,0.16917619
16,0.59055118,0.08471394,0.19936342
16,0.59842520,-0.14409355,0.22778319
16,0.60629921,-0.14747147,0.25369752
16,0.61417323,-0.09088749,0.27646802
16,0.62204724,0.04677526,0.29557009
16,0.62992126,0.21386491,0.31060344
16,0.63779528,0.21374978,0.32129864
16,0.64566929,0.43385563,0.32751973
16,0.65354331,0.46227230,0.32926290
16,0.66141732,0.53678014,0.32665152
16,0.66929134,0.66133394,0.31992772
16,0.67716535,0.51209993,0.30944092
16,0.68503937,0.51016144,0.29563384
16,0.69291339,0.41950819,0.27902626
16,0.70078740,0.47807750,0.26019737
16,0.70866142,0.43829596,0.23976700
16,0.71653543,0.25340760,0.21837650
16,0.72440945,0.37219436,0.19666969
16,0.73228346,0.28367836,0.17527453
16,0.74015748,0.30803705,0.15478590
16,0.74803150,0.20513923,0.13575000
16,0.75590551,0.18190028,0.11865077
16,0.76377953,-0.07790980,0.10389849
16,0.77165354,-0.17552543,0.09182108
16,0.77952756,-0.22081891,0.08265790
16,0.78740157,-0.38951431,0.07655640
16,0.79527559,-0.15958708,0.07357152
16,0.80314961,-0.17071079,0.07366764
16,0.81102362,-0.09950011,0.07672314
16,0.81889764,0.04435036,0.08253713
16,0.82677165,0.14150963,0.09083823
16,0.83464567,0.09276720,0.10129499
16,0.84251969,0.20259737,0.11352759
16,0.85039370,0.18435583,0.12712050
16,0.85826772,0.22765888,0.14163564
16,0.86614173,0.10245836,0.15662568
16,0.87401575,0.34025770,0.17164707
16,0.88188976,0.24057684,0.18627249
16,0.88976378,0.34446775,0.20010235
16,0.89763780,0.49099666,0.21277506
16,0.90551181,0.40982203,0.22397578
16,0.91338583,0.43890845,0.23344359
16,0.92125984,0.36238936,0.24097681
16,0.92913386,0.46308822,0.24643640
16,0.93700787,0.23728334,0.24974752
16,0.94488189,0.22828462,0.25089915
16,0.95275591,0.16025787,0.24994198
16,0.96062992,0.05227267,0.24698452
16,0.96850394,0.04404068,0.24218788
16,0.97637795,0.14259831,0.23575909
16,0.98425197,-0.10175237,0.22794351
16,0.99212598,0.15918352,0.21901635
16,1.00000000,0.13108620,0.20927374
32,0.00000000,-0.29482989,-0.21304873
32,0.00787402,-0.24196827,-0.06553075
32,0.01574803,-0.05003962,0.07175071
32,0.02362205,0.13868598,0.19492914
32,0.03149606,0.31258701,0.30072393
32,0.03937008,0.49795299,0.38651967
32,0.04724409,0.59996822,0.45042179
32,0.05511811,0.70658537,0.49128764
32,0.06299213,0.66843168,0.50873314
32,0.07086614,0.73423645,0.50311560
32,0.07874016,0.51267543,0.47549412
32,0.08661417,0.55934369,0.42756990
32,0.09448819,0.38716316,0.36160874
32,0.10236220,0.29230219,0.28034914
32,0.11023622,0.20194091,0.18689916
32,0.11811024,0.07378159,0.08462586
32,0.12598425,-0.02349699,-0.02295917
32,0.13385827,-0.08806880,-0.13231423
32,0.14173228,-0.26369338,-0.23997861
32,0.14960630,-0.42866775,-0.34267682
32,0.15748031,-0.56325090,-0.43741312
32,0.16535433,-0.63753943,-0.52155371
32,0.17322835,-0.73289872,-0.59289459
32,0.18110236,-0.88628255,-0.64971345
32,0.18897638,-0.96054553,-0.69080460
32,0.19685039,-0.85197404,-0.71549657
