train_n,sample_id,amplitude,damping,frequency,shift,mse
16,0,0.77982655,2.94342866,22.03477410,0.33427365,0.0066916983
16,1,0.82104358,2.44662162,22.88887571,0.05894116,0.0057626968
16,2,0.72585554,2.56531369,22.17820756,0.29448023,0.0115858845
16,3,0.87714572,2.91203197,21.82495439,0.43799981,0.0066704322
16,4,0.91175047,2.37969567,20.85435912,0.39067308,0.0018298719
16,5,0.69818616,2.59923818,22.75016026,-0.23417598,0.0023466935
16,6,0.85274841,2.60210318,22.87733439,0.11529083,0.0024776839
16,7,0.81147960,3.09392530,21.63642573,0.12352345,0.0068074739
16,8,0.91017505,2.49669881,21.06439075,-0.48055513,0.0113735848
16,9,0.72752693,2.57928592,23.25644518,0.05406420,0.0050735776
16,10,0.93372874,2.65365998,22.55366568,0.42207228,0.0066042698
16,11,0.62432444,3.09855515,21.02255096,0.33739628,0.0025408994
16,12,0.71486525,2.67453752,23.02135994,0.35043909,0.0055119450
16,13,0.85675054,2.45900747,21.58219927,-0.19137832,0.0022747699
16,14,0.68916350,3.18216738,22.39495578,0.25949008,0.0115250835
16,15,0.86085193,2.40536035,22.92709063,-0.01484042,0.0041711249
16,16,0.77564269,2.75961250,23.06089990,0.44041506,0.0020550104
16,17,0.63427287,2.13721428,24.03219646,-0.25807975,0.0024180867
16,18,0.72766790,2.47888794,22.52987072,0.23718208,0.0009581610
16,19,0.89230905,3.07862646,20.71150046,0.12270141,0.0037486020
16,20,0.87964503,2.26584160,23.02392995,-0.09511566,0.0026712398
16,21,0.87525907,2.75483994,21.46630022,0.07868230,0.0050006685
16,22,0.75329848,2.13603203,22.09642106,-0.07923302,0.0092090844
16,23,0.86480469,2.42374580,20.52781302,0.01914103,0.0077548420
16,24,0.74708323,2.69759024,20.95044088,0.13352043,0.0047444728
16,25,0.75569370,2.36122652,23.64215300,0.20713764,0.0012201311
16,26,0.69364103,2.21082768,24.64177035,0.32721704,0.0043980532
16,27,0.79057489,2.28837216,22.10414616,-0.08584917,0.0080120002
16,28,0.80152875,3.34127458,20.99845474,0.33179116,0.0036598882
16,29,0.76891786,2.68739365,21.78271156,0.22669711,0.0047359012
16,30,0.83951991,2.99274965,20.61116483,0.28742266,0.0039618521
16,31,0.79996087,2.20922915,22.23835223,0.38314036,0.0077668275
16,32,0.78881231,2.46057135,22.68287227,0.39493278,0.0078006590
